,year,month,date,client_id_num,client_id,cusip_num,cusip,broker_name_num,broker_name,si_firm_id,si_primary_firm_name,fds_broker_id,sale,redemption,unique_zip_count,hoa_sale,hoa_redemption,hoa_unique_zip_count,hhoa,home_office_activity,sale_std_dev_from_mean,redemption_std_dev_from_mean,unique_zip_count_std_dev_from_mean,day_of_week,fund_id,hoa_last_year
21433,2018.0,1.0,2018-01-22,24,PIMCO,4971,72201M784,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,31002247.6658,-9995533.65,261,31002247.6658,-9995533.65,261.0,1.0,1,5.9717994767898475,-3.1813661561949282,2.1778414927661527,0,FSUSA00203,1
21502,2018.0,1.0,2018-01-23,24,PIMCO,4971,72201M784,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,6840769.9904,-27918974.52,164,0.0,-27918974.52,1.0,1.0,1,0.8851544675418149,-6.356156042951643,0.971397647871536,1,FSUSA00203,1
21509,2018.0,1.0,2018-01-23,24,PIMCO,4867,722005667,6436,Wells Fargo Advisors (WBS),83334,WELLS FARGO BANK,LMS46920,24411628.5892,-37935.1499,884,24411628.5892,-37935.1499,884.0,1.0,1,0.7071067811865475,-0.7071067811865476,0.7071067811865475,1,FSUSA00GO1,1
21517,2018.0,1.0,2018-01-23,24,PIMCO,4867,722005667,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,63337012.3313,-99844.135,638,71392048.8191,-103960.01,708.0,1.0,1,1.77621226499897,0.5968197845654065,1.6510212541823672,1,FSUSA00GO1,1
21532,2018.0,1.0,2018-01-23,24,PIMCO,4867,722005667,1998,Wells Fargo Advisors (PCG),83334,WELLS FARGO BANK,LMS46920,5239101.2185,-3817.54,72,71392048.8191,-103960.01,708.0,1.0,1,-0.4054836422688655,0.5370996093958692,-0.5425329148027205,1,FSUSA00GO1,1
21587,2018.0,1.0,2018-01-24,24,PIMCO,4971,72201M784,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,45215190.8622,-1483315.98,286,45215190.8622,-1483315.98,286.0,1.0,1,6.276522529660585,-0.06521665554095822,2.4570196853395343,2,FSUSA00203,1
21658,2018.0,1.0,2018-01-25,24,PIMCO,4866,693390700,101847,"Broadridge Business Process Outsourcing, LLC",22742,"BROADRIDGE BUSINESS PROCESS OUTSOURCING, LLC",LMS30100,257149.33,-74211006.01,1,0.0,-74211006.01,1.0,1.0,1,-1.158895553997265,-2.039569379547672,0.0,3,FSUSA001ZG,1
21965,2018.0,1.0,2018-01-31,24,PIMCO,4997,693390841,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,501746.94,-45090640.3001,1361,0.0,-45090640.3001,1353.0,1.0,1,-2.2191010994831784,-9.695689145870835,4.493824626274917,2,FSUSA001ZK,1
22087,2018.0,2.0,2018-02-02,24,PIMCO,4867,722005667,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,30170735.9666,-79162.2899,139,30244866.9299,-81434.0899,148.0,1.0,1,0.6247130183683546,0.5034377507056782,-0.3881096679465482,4,FSUSA00GO1,1
22110,2018.0,2.0,2018-02-02,24,PIMCO,4997,693390841,174017,Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,871580.35,-41577160.9299,1601,0.0,-41577160.9299001,1599.0,1.0,1,-1.4980301640793054,-7.36724404099609,5.162824070863892,4,FSUSA001ZK,1
22142,2018.0,2.0,2018-02-02,24,PIMCO,23720,72201F490,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,4085656.8299,-30013242.7964,187,0.0,-30038672.359,107.0,1.0,1,0.2527585551874873,-15.149074734704866,0.6775384783969844,4,FSUSA07XD8,1
